2025-10-14 17:15:48,844 | INFO     | __main__ | <module>:156 | Last message must be from user
2025-10-14 17:16:06,972 | INFO     | __main__ | <module>:156 | Last message must be from user
2025-10-14 17:18:03,381 | INFO     | __main__ | <module>:159 | None
2025-10-14 17:30:01,287 | INFO     | __main__ | <module>:161 | Last message must be from user
2025-10-14 17:30:10,821 | WARNING  | __main__ | <module>:161 | Last message must be from user
2025-10-14 17:30:18,555 | WARNING  | __main__ | <module>:161 | Last message must be from user
2025-10-14 17:37:50,445 | INFO     | __main__ | <module>:164 | [chat/comletions] Start:
2025-10-14 17:38:19,603 | INFO     | __main__ | <module>:164 | [chat/comletions] Start:{'model': 'qwen-plus', 'stream': False, 'messageCount': 3640, 'requestId': 0}
2025-10-14 17:45:16,036 | INFO     | __main__ | <module>:165 | [chat/comletions] Start: {'model': 'qwen-plus', 'stream': False, 'messageCount': 3640, 'requestId': 0}
2025-10-14 17:45:21,596 | INFO     | __main__ | <module>:165 | [chat/comletions] Start: {'model': 'qwen-plus', 'stream': False, 'messageCount': 3640, 'requestId': 0}
2025-10-14 18:01:39,983 | INFO     | __main__ | <module>:230 | [chat/comletions] Start: {'model': 'qwen-plus', 'stream': False, 'messageCount': 3640, 'requestId': 0, 'token_budget': 32000, 'max_bad_attempts': 3}
2025-10-14 18:04:41,222 | INFO     | __main__ | <module>:238 | [chat/comletions] Start: {'model': 'qwen-plus', 'stream': False, 'messageCount': 3640, 'requestId': 0, 'token_budget': 32000, 'max_bad_attempts': 3, 'response_schema': {'type': 'object', 'properties': {'answer': {'type': 'string'}, 'confidence': {'type': 'string'}}, 'required': ['answer']}}
2025-10-14 18:04:48,604 | INFO     | __main__ | <module>:238 | [chat/comletions] Start: {'model': 'qwen-plus', 'stream': False, 'messageCount': 3640, 'requestId': 0, 'token_budget': 32000, 'max_bad_attempts': 3, 'response_schema': {'type': 'object', 'properties': {'answer': {'type': 'string'}, 'confidence': {'type': 'string'}}, 'required': ['answer']}}
2025-10-14 18:06:59,469 | INFO     | __main__ | <module>:238 | [chat/comletions] Start: {'model': 'qwen-plus', 'stream': False, 'messageCount': 3640, 'requestId': 0, 'token_budget': 32000, 'max_bad_attempts': 3, 'response_schema': {'type': 'object', 'properties': {'answer': {'type': 'string'}, 'confidence': {'type': 'string'}}, 'required': ['answer']}}
2025-10-15 14:02:38,888 | INFO     | __main__ | <module>:205 | [chat/comletions] Start: {'model': 'qwen-plus', 'stream': False, 'messageCount': 3640, 'requestId': 0, 'token_budget': 32000, 'max_bad_attempts': 3, 'response_schema': {'type': 'object', 'properties': {'answer': {'type': 'string'}, 'confidence': {'type': 'string'}}, 'required': ['answer']}}
